Student ID,Student Name,Campus Location,Study Mode,Course Name,Application Date,Agent Name,Application Stage,Business Development Manager,Total Fee,Fee Paid,Intake Name,Date of Birth,Date Conditional Offer,Date Unconditional Offer,Date Enrolled,Email
S0491,Cathy Barnes,Paris,Weekend,MSc Data Science,8/26/2024,Future Abroad,Conditional Offer,David Lee,16167,3552,25-Jan,12/3/1992,3/22/2025,,,kennethbeard@smith-baker.com
S0492,Gabriela Best,Berlin,Evening,MBA,2/8/2025,UniBridge,Conditional Offer,Maria Garcia,16381,3755,25-Sep,3/17/2004,5/14/2025,,,daltoncoleman@gmail.com
S0493,Tiffany Osborn,Berlin,Evening,MSc Data Science,10/24/2024,Global Edu,Unconditional Offer,David Lee,9725,5817,25-Sep,12/22/1996,5/13/2025,6/21/2025,,sarah78@perkins.com
S0494,Christina Bennett,Berlin,Part-time,MSc Marketing,6/2/2025,UniBridge,Conditional Offer,Alice Johnson,17997,5236,25-Jan,11/25/2004,6/15/2025,,,amber00@dominguez.com
S0495,Stephanie Harmon,Dublin,Part-time,BA Economics,11/3/2024,EduPath,Conditional Offer,Robert Smith,10712,2259,25-Sep,7/14/1995,2/12/2025,,,smithkeith@yahoo.com
S0496,Christopher Nguyen,London,Full-time,BA Economics,7/28/2024,Global Edu,Conditional Offer,Alice Johnson,17916,2261,25-May,3/10/1999,9/24/2024,,,darrylpreston@smith.com
S0497,Brandon Robinson,Berlin,Evening,MSc Data Science,12/3/2024,Global Edu,Conditional Offer,Maria Garcia,21361,5342,25-Sep,1/9/1992,4/1/2025,,,lindareed@yahoo.com
S0498,Linda Conway,London,Weekend,BBA,5/12/2025,Future Abroad,Enrolled,Robert Smith,23253,17413,25-Sep,9/1/2006,5/19/2025,6/28/2025,6/30/2025,jonesspencer@hotmail.com
S0499,Kathy Wilson,Madrid,Full-time,MSc Marketing,7/14/2024,UniBridge,Conditional Offer,Alice Johnson,9617,2310,25-Sep,7/26/2001,9/20/2024,,,lquinn@stevenson.com
S0500,Rachel Riley,London,Full-time,BBA,10/2/2024,Future Abroad,Unconditional Offer,Maria Garcia,9801,6979,25-Jan,8/3/2003,1/22/2025,4/21/2025,,joseph69@wood.com
S0501,Michael Roberts,Berlin,Part-time,MSc Marketing,12/30/2024,Future Abroad,Withdrawn,Robert Smith,23415,408,25-May,8/14/2003,,,,mrobinson@gmail.com
S0502,Krista Burgess,Paris,Weekend,BA Economics,9/21/2024,Bright Horizons,Conditional Offer,Maria Garcia,12663,1412,25-Jan,10/15/1997,3/18/2025,,,plawrence@hotmail.com
S0503,Katie Chung,London,Part-time,BBA,12/18/2024,Global Edu,Enrolled,David Lee,21644,20994,25-Jan,4/12/1990,6/10/2025,6/22/2025,7/1/2025,hmitchell@burns.net
S0504,Anthony Bailey,Berlin,Part-time,BBA,12/5/2024,Bright Horizons,Enquiry,Emma Brown,20131,377,25-Sep,8/23/2002,,,,whitneywatson@martin.com
S0505,Emily Vargas,Dublin,Weekend,MSc Marketing,6/4/2025,Global Edu,Conditional Offer,Maria Garcia,9351,813,25-May,5/28/2001,6/23/2025,,,lesterkaren@gmail.com
S0506,Madison Wise,Dublin,Weekend,MSc Data Science,9/3/2024,Future Abroad,Enquiry,David Lee,12065,409,25-Sep,1/28/1997,,,,huntmarcus@turner.net
S0507,Ronald Miller,Dublin,Part-time,MSc Marketing,10/13/2024,Future Abroad,Enquiry,Emma Brown,18075,31,25-Sep,10/17/1998,,,,emmaramos@yahoo.com
S0508,James Bell,Madrid,Evening,MBA,10/13/2024,UniBridge,Conditional Offer,Emma Brown,17333,2838,25-May,8/19/1998,3/10/2025,,,lawrencelaura@evans.biz
S0509,Tammie Lozano,London,Full-time,BA Economics,8/6/2024,Future Abroad,Conditional Offer,David Lee,20686,4286,25-Sep,7/3/1996,9/8/2024,,,imoore@yahoo.com
S0510,Sandra Cruz,London,Evening,BA Economics,8/11/2024,Bright Horizons,Enrolled,Emma Brown,10141,6939,25-May,6/29/2001,2/15/2025,2/19/2025,6/13/2025,jenna64@gmail.com
S0511,Breanna Howell,Madrid,Evening,MBA,12/16/2024,EduPath,Enrolled,Alice Johnson,11494,7683,25-Sep,7/30/1992,12/28/2024,4/26/2025,5/30/2025,jenniferdennis@diaz.org
S0512,Adam Ellis,Dublin,Full-time,BBA,4/22/2025,Bright Horizons,Conditional Offer,David Lee,12552,2017,25-May,11/25/2005,6/8/2025,,,hogankimberly@gmail.com
S0513,Anthony Savage,Dublin,Part-time,BA Economics,6/26/2025,UniBridge,Enquiry,Emma Brown,10742,166,25-Sep,2/1/1992,,,,douglasreed@garcia-miles.com
S0514,Nathan Frost,Dublin,Full-time,MSc Data Science,11/17/2024,EduPath,Enrolled,Emma Brown,24935,18345,25-Sep,3/1/1994,6/23/2025,6/23/2025,6/28/2025,maria20@yahoo.com
S0515,Bryan Brooks,London,Evening,MSc Marketing,1/22/2025,Global Edu,Enrolled,Alice Johnson,21470,20876,25-Jan,10/26/2001,6/19/2025,6/23/2025,6/25/2025,olyons@olson.com
S0516,Samantha Williams,Dublin,Weekend,BBA,9/24/2024,Future Abroad,Withdrawn,Maria Garcia,9389,185,25-Sep,5/30/1996,,,,martineztyler@lopez-freeman.com
S0517,Sheryl Boone,Berlin,Evening,MSc Data Science,10/25/2024,Future Abroad,Enrolled,Maria Garcia,17575,16625,25-May,4/13/1999,3/11/2025,5/30/2025,6/28/2025,youngrobert@yahoo.com
S0518,Joseph White,Paris,Weekend,BBA,1/10/2025,Bright Horizons,Conditional Offer,David Lee,12727,995,25-Sep,9/22/2003,4/15/2025,,,brian53@hotmail.com
S0519,Cody Wilson,London,Evening,BBA,12/31/2024,Global Edu,Enrolled,Alice Johnson,21907,19802,25-Jan,5/30/2006,2/27/2025,5/31/2025,6/18/2025,kevinrichardson@mccarthy-king.org
S0520,Tamara Wilson,Dublin,Full-time,MSc Marketing,4/6/2025,Global Edu,Conditional Offer,Emma Brown,22209,988,25-Jan,5/22/1997,4/28/2025,,,angela61@gmail.com
S0521,Ian Wood,London,Full-time,BSc Computer Science,8/1/2024,Bright Horizons,Unconditional Offer,Maria Garcia,16676,12353,25-Sep,2/24/2001,11/17/2024,12/30/2024,,swilliams@love.com
S0522,Robert Lyons,London,Weekend,BBA,12/15/2024,Bright Horizons,Conditional Offer,Robert Smith,11429,606,25-Sep,11/3/1997,2/2/2025,,,meghan58@hotmail.com
S0523,Gina Butler,Paris,Part-time,BBA,5/25/2025,Global Edu,Enrolled,Alice Johnson,16890,14477,25-Jan,9/17/1994,5/27/2025,6/21/2025,6/21/2025,julietyler@yahoo.com
S0524,Robert Vasquez,Berlin,Part-time,BBA,1/10/2025,EduPath,Conditional Offer,Robert Smith,12815,1665,25-Jan,1/5/2000,3/5/2025,,,joshua86@hudson.net
S0525,James Brown,Paris,Part-time,BA Economics,12/11/2024,UniBridge,Unconditional Offer,Alice Johnson,23250,22928,25-Sep,10/29/1991,1/10/2025,2/10/2025,,travis88@leonard.com
S0526,Jeffrey Johnson,Berlin,Evening,MBA,6/11/2025,UniBridge,Enrolled,Alice Johnson,14807,11617,25-Sep,1/4/1997,6/30/2025,7/1/2025,7/1/2025,adamriley@james.com
S0527,Robert Parker,Madrid,Full-time,MSc Data Science,7/1/2024,Future Abroad,Enrolled,Maria Garcia,13935,7277,25-May,9/24/2005,3/26/2025,7/1/2025,7/1/2025,deborahgoodwin@freeman.info
S0528,Thomas Greer,London,Evening,MSc Data Science,6/4/2025,Bright Horizons,Conditional Offer,David Lee,15947,1784,25-May,1/25/2006,6/8/2025,,,kirkjennifer@bowen.com
S0529,Daniel Proctor,Berlin,Part-time,BA Economics,8/14/2024,Global Edu,Enrolled,Maria Garcia,14860,11123,25-Jan,1/6/1995,2/13/2025,3/15/2025,6/4/2025,tammysimon@hotmail.com
S0530,Richard Baldwin,Berlin,Part-time,BA Economics,3/1/2025,Bright Horizons,Conditional Offer,Alice Johnson,20800,4890,25-May,5/11/2001,5/31/2025,,,michael31@burton.biz
S0531,Zachary Evans,London,Full-time,BSc Computer Science,2/8/2025,UniBridge,Enquiry,Alice Johnson,9931,305,25-May,11/22/1998,,,,millerbrianna@hotmail.com
S0532,Sydney Odom,London,Part-time,BBA,5/11/2025,EduPath,Enquiry,Maria Garcia,17657,303,25-May,5/5/1996,,,,qmartinez@peterson-ferguson.com
S0533,Evelyn Flowers,Madrid,Full-time,MBA,6/8/2025,EduPath,Unconditional Offer,Emma Brown,21365,16835,25-May,9/22/1991,6/17/2025,6/30/2025,,peterfisher@gmail.com
S0534,Haley Richmond,Paris,Weekend,BSc Computer Science,10/1/2024,UniBridge,Enrolled,David Lee,24333,24321,25-May,5/24/2003,12/12/2024,12/17/2024,5/9/2025,jnichols@gmail.com
S0535,Kelly Cruz,Paris,Evening,MBA,12/1/2024,EduPath,Conditional Offer,Robert Smith,12831,2225,25-Sep,4/3/2006,6/11/2025,,,klarson@crawford.com
S0536,Eric Sanchez,Paris,Weekend,BSc Computer Science,2/25/2025,Global Edu,Unconditional Offer,Robert Smith,9699,6888,25-May,12/19/2003,5/19/2025,6/6/2025,,benjamin43@houston-henry.com
S0537,Jeffrey Reid,Madrid,Evening,MSc Data Science,6/26/2025,Global Edu,Enquiry,David Lee,22279,291,25-Jan,2/9/1996,,,,michael58@bowman.com
S0538,Amy Wilson,Berlin,Evening,BSc Computer Science,9/8/2024,EduPath,Unconditional Offer,David Lee,12994,7004,25-Sep,12/4/1992,12/17/2024,4/25/2025,,mperry@lee.com
S0539,Christy Williams,Berlin,Full-time,BBA,5/22/2025,EduPath,Conditional Offer,Maria Garcia,20240,5661,25-Jan,8/13/1992,5/28/2025,,,colekristen@hotmail.com
S0540,Erica Parrish,London,Full-time,MSc Data Science,9/21/2024,EduPath,Enrolled,Alice Johnson,13343,11640,25-May,12/4/1996,6/29/2025,6/30/2025,7/1/2025,hkim@yahoo.com
S0541,Cheryl Hunt,Paris,Part-time,BA Economics,1/6/2025,EduPath,Enrolled,Emma Brown,24130,17890,25-Jan,1/29/1994,3/29/2025,4/10/2025,5/19/2025,egreen@hotmail.com
S0542,Whitney Chapman,Dublin,Part-time,BBA,10/15/2024,Global Edu,Enquiry,Robert Smith,24350,434,25-May,7/23/1995,,,,blackburnjoseph@martinez-russo.com
S0543,Rick Carter,Madrid,Evening,MSc Marketing,10/21/2024,Global Edu,Enrolled,David Lee,24541,13880,25-Jan,4/17/1996,12/18/2024,6/11/2025,6/30/2025,roblesmatthew@hotmail.com
S0544,Tiffany Hernandez,London,Evening,BSc Computer Science,10/3/2024,Bright Horizons,Enrolled,Robert Smith,10382,7784,25-May,3/21/2000,4/15/2025,5/21/2025,6/3/2025,matthew09@jenkins.biz
S0545,Jonathan Shaw,Paris,Weekend,BBA,6/5/2025,Global Edu,Unconditional Offer,Robert Smith,11760,6733,25-Jan,4/3/2004,6/6/2025,6/13/2025,,frobinson@jackson-cardenas.com
S0546,Jeff Dominguez,Paris,Part-time,BBA,2/21/2025,Bright Horizons,Unconditional Offer,Robert Smith,11217,8597,25-May,9/10/2000,3/31/2025,4/24/2025,,susanwallace@williams.com
S0547,Daniel Gordon,London,Weekend,MSc Marketing,7/8/2024,Global Edu,Enrolled,Robert Smith,16396,8930,25-Jan,9/27/1998,3/17/2025,4/15/2025,6/16/2025,randyward@ortiz-proctor.com
S0548,Leslie Perez,Paris,Evening,MBA,9/4/2024,UniBridge,Conditional Offer,David Lee,9409,2427,25-Jan,3/30/1992,6/26/2025,,,lbartlett@park-taylor.biz
S0549,Stephen Huber,London,Part-time,MSc Marketing,9/18/2024,EduPath,Enquiry,Alice Johnson,17129,71,25-Sep,6/26/1999,,,,karen73@yahoo.com
S0550,Felicia Lee,Paris,Weekend,BA Economics,9/22/2024,UniBridge,Enquiry,Alice Johnson,12321,408,25-Sep,8/18/1992,,,,rodriguezbrian@yahoo.com
S0551,Vickie Baker,Madrid,Part-time,MSc Marketing,7/1/2025,Global Edu,Withdrawn,David Lee,17646,38,25-May,6/25/1998,,,,urodriguez@yahoo.com
S0552,Jacqueline Stephenson,Paris,Part-time,BSc Computer Science,6/13/2025,UniBridge,Enrolled,David Lee,13447,7600,25-Jan,3/4/1996,6/17/2025,6/27/2025,6/30/2025,brooke51@yahoo.com
S0553,Jeremy Rush,Dublin,Part-time,BSc Computer Science,12/5/2024,Global Edu,Enrolled,David Lee,19968,12473,25-Sep,11/11/1997,2/14/2025,4/24/2025,6/7/2025,hlin@harrington-johnston.com
S0554,Veronica Craig,Madrid,Full-time,BA Economics,3/3/2025,Bright Horizons,Enrolled,David Lee,21342,16590,25-Sep,8/3/1991,6/1/2025,6/14/2025,6/16/2025,smithmark@smith-neal.org
S0555,Shannon Alvarado,Dublin,Evening,BBA,8/26/2024,UniBridge,Enrolled,David Lee,20648,18665,25-Sep,8/21/1997,10/18/2024,6/8/2025,6/30/2025,johnathananderson@baker-torres.com
S0556,Madison Singleton,Dublin,Weekend,MBA,2/26/2025,UniBridge,Conditional Offer,Alice Johnson,17993,1933,25-Sep,5/7/1998,5/27/2025,,,haydenjames@gmail.com
S0557,Patrick Henry,Paris,Full-time,BSc Computer Science,12/4/2024,EduPath,Unconditional Offer,Robert Smith,19480,10632,25-Sep,11/24/1994,1/28/2025,2/8/2025,,abbottandrew@bender.com
S0558,Alan House,Berlin,Part-time,BA Economics,9/6/2024,Future Abroad,Conditional Offer,Maria Garcia,11586,2833,25-May,8/9/1991,1/1/2025,,,williamrobertson@owen.com
S0559,Roberto Gutierrez,Madrid,Part-time,MSc Data Science,7/1/2024,Future Abroad,Withdrawn,Emma Brown,14265,53,25-Sep,7/2/1997,,,,nyang@yahoo.com
S0560,Lori Gallagher,Paris,Weekend,MBA,1/9/2025,Bright Horizons,Withdrawn,Alice Johnson,16431,235,25-Jan,3/13/1993,,,,frederickjeffrey@hotmail.com
S0561,Jeffrey Lin,London,Weekend,BSc Computer Science,6/15/2025,EduPath,Conditional Offer,Alice Johnson,10496,1415,25-Sep,10/17/1989,6/19/2025,,,hnewton@gmail.com
S0562,Bryan Green,London,Full-time,BBA,9/1/2024,EduPath,Enquiry,Robert Smith,13703,357,25-Jan,11/1/2005,,,,lynn39@gmail.com
S0563,Dana Jackson,Berlin,Evening,BA Economics,5/9/2025,EduPath,Enrolled,Emma Brown,22298,13952,25-May,1/26/2001,6/18/2025,6/21/2025,6/30/2025,millerlisa@page.com
S0564,Samantha Bennett,Paris,Evening,BSc Computer Science,2/23/2025,Bright Horizons,Unconditional Offer,Robert Smith,20285,16005,25-May,1/18/2007,5/7/2025,6/28/2025,,stanleybautista@yahoo.com
S0565,Troy Harper,Dublin,Part-time,BBA,5/31/2025,Global Edu,Conditional Offer,Emma Brown,14458,3580,25-May,1/18/1992,6/5/2025,,,angela99@yahoo.com
S0566,Jaime Long,London,Part-time,MSc Marketing,9/21/2024,Future Abroad,Unconditional Offer,Emma Brown,23214,14792,25-Sep,5/15/1997,1/6/2025,2/15/2025,,iwatson@gmail.com
S0567,Timothy Brown,London,Weekend,BA Economics,3/4/2025,UniBridge,Unconditional Offer,David Lee,17539,16920,25-Jan,8/19/1997,6/17/2025,6/24/2025,,snorris@hotmail.com
S0568,Kristin Glover DDS,Dublin,Weekend,BBA,6/21/2025,Global Edu,Conditional Offer,Maria Garcia,24674,4466,25-May,10/18/1996,6/25/2025,,,richardnash@hotmail.com
S0569,Julie Newman,Berlin,Evening,BSc Computer Science,10/18/2024,UniBridge,Conditional Offer,Robert Smith,18335,586,25-Sep,6/8/2003,6/14/2025,,,ylawrence@hotmail.com
S0570,Kimberly Brewer,Berlin,Full-time,BSc Computer Science,9/4/2024,Bright Horizons,Enquiry,Alice Johnson,13614,385,25-Jan,11/10/1996,,,,karenlee@green.com
S0571,Kimberly Parrish,Madrid,Evening,MSc Data Science,8/23/2024,Global Edu,Enrolled,Emma Brown,24091,12985,25-Sep,9/2/1989,6/13/2025,6/21/2025,6/26/2025,josephtran@yahoo.com
S0572,Benjamin Welch,London,Full-time,BSc Computer Science,8/9/2024,EduPath,Conditional Offer,David Lee,13381,2868,25-Sep,1/22/1991,1/30/2025,,,jennifermurphy@gmail.com
S0573,Thomas Ramsey,Dublin,Part-time,MSc Marketing,3/10/2025,Future Abroad,Unconditional Offer,Alice Johnson,11552,11030,25-May,4/13/2007,3/24/2025,6/29/2025,,katherine75@yu.biz
S0574,Andre Morgan,Dublin,Weekend,MBA,12/20/2024,UniBridge,Enquiry,Robert Smith,23348,232,25-Jan,2/1/1996,,,,travis87@houston-vaughn.net
S0575,Brian Velazquez,Berlin,Part-time,MSc Marketing,10/19/2024,Global Edu,Conditional Offer,Alice Johnson,11452,2505,25-Jan,1/13/1998,6/8/2025,,,jasonwaller@morgan.com
S0576,Judith Romero,Dublin,Part-time,BSc Computer Science,8/24/2024,EduPath,Enquiry,Emma Brown,23115,398,25-Sep,5/7/1996,,,,gravessusan@gmail.com
S0577,Joshua Hall,Paris,Evening,MBA,12/19/2024,Future Abroad,Unconditional Offer,Maria Garcia,13298,8705,25-Sep,2/6/1999,5/10/2025,6/30/2025,,zclark@morrow.com
S0578,Shelly Rice,Dublin,Full-time,BA Economics,6/23/2025,Global Edu,Conditional Offer,Maria Garcia,24170,749,25-Sep,10/23/2003,6/28/2025,,,lisa60@yahoo.com
S0579,Daniel Jackson,Madrid,Full-time,MSc Marketing,5/31/2025,Global Edu,Unconditional Offer,David Lee,14512,8040,25-Jan,8/30/1995,5/31/2025,6/10/2025,,wfoster@white-allen.org
S0580,Teresa Davis,Madrid,Evening,BA Economics,2/11/2025,EduPath,Unconditional Offer,Robert Smith,9411,5888,25-Jan,2/2/2004,3/2/2025,6/12/2025,,joseph57@phillips.net
S0581,Kelly Vargas,Madrid,Part-time,MSc Marketing,6/25/2025,Bright Horizons,Unconditional Offer,David Lee,14114,13661,25-May,3/9/1991,6/27/2025,6/28/2025,,freemanrachel@collins.com
S0582,Christina Baker,Paris,Evening,MSc Data Science,7/2/2024,Future Abroad,Enquiry,Alice Johnson,18127,76,25-May,9/23/1992,,,,alexis01@mendoza-andrews.info
S0583,Eric Miranda,Madrid,Evening,BA Economics,7/1/2025,Future Abroad,Conditional Offer,Robert Smith,19964,2974,25-Sep,4/19/2002,7/1/2025,,,tammy02@moss.com
S0584,Charles Jones,London,Part-time,MBA,11/7/2024,EduPath,Conditional Offer,David Lee,11329,2285,25-Sep,4/15/2007,5/24/2025,,,robertwilliams@gmail.com
S0585,Nathan Hobbs,Paris,Weekend,BBA,4/16/2025,Global Edu,Withdrawn,Emma Brown,18385,64,25-Jan,7/25/2005,,,,wolfenathaniel@gmail.com
S0586,Robert Washington,Paris,Weekend,MSc Data Science,11/12/2024,EduPath,Enrolled,Maria Garcia,21829,20684,25-Sep,5/30/1994,11/14/2024,6/7/2025,6/7/2025,alyssa97@yahoo.com
S0587,Miranda Ramos,Berlin,Full-time,BSc Computer Science,3/3/2025,UniBridge,Enrolled,Emma Brown,23363,14413,25-Sep,2/12/2000,4/19/2025,6/20/2025,6/30/2025,potternicole@chavez-vang.com
S0588,Derek Bennett,London,Evening,MSc Data Science,7/22/2024,EduPath,Enrolled,David Lee,21727,20964,25-Jan,7/18/1992,9/30/2024,10/15/2024,3/1/2025,hendricksemily@green.com
S0589,James Doyle,Berlin,Full-time,BSc Computer Science,8/3/2024,Future Abroad,Enrolled,David Lee,23088,21988,25-Jan,4/13/1998,8/16/2024,6/23/2025,7/1/2025,brenda78@gmail.com
S0590,Tammy Torres,London,Weekend,BSc Computer Science,12/15/2024,EduPath,Conditional Offer,David Lee,12594,997,25-Sep,12/9/2005,5/18/2025,,,ucole@yahoo.com
S0591,April Simmons,London,Part-time,BSc Computer Science,2/5/2025,UniBridge,Enquiry,Emma Brown,24926,106,25-Sep,1/13/1997,,,,edwardsdouglas@gmail.com
S0592,Nathaniel Tate,Berlin,Full-time,MSc Data Science,7/27/2024,UniBridge,Enquiry,Emma Brown,21638,147,25-Jan,12/24/1999,,,,sfarrell@yahoo.com
S0593,Holly Stephens,Madrid,Evening,MSc Marketing,11/21/2024,Global Edu,Conditional Offer,Alice Johnson,19866,3586,25-Jan,3/22/2006,3/14/2025,,,esims@yahoo.com
S0594,Scott Herring,Madrid,Full-time,MBA,3/8/2025,Future Abroad,Enrolled,Alice Johnson,9722,9383,25-Sep,10/3/1997,5/11/2025,5/14/2025,6/25/2025,markgardner@gmail.com
S0595,Jessica Galloway,Dublin,Evening,MSc Marketing,10/19/2024,Future Abroad,Enquiry,Robert Smith,17129,419,25-Sep,2/17/1992,,,,beth34@jackson.info
S0596,Christine Cortez,Madrid,Evening,MBA,5/5/2025,UniBridge,Conditional Offer,David Lee,18141,4551,25-Jan,10/18/1999,6/20/2025,,,austingalvan@gmail.com
S0597,Nicholas Santana MD,Madrid,Full-time,BBA,4/23/2025,Global Edu,Enquiry,Alice Johnson,11545,428,25-Sep,5/29/2004,,,,fieldschristopher@gmail.com
S0598,Kenneth Henry,Madrid,Part-time,BA Economics,9/15/2024,Future Abroad,Conditional Offer,Robert Smith,12793,2339,25-Sep,3/27/1990,4/29/2025,,,ericsmith@hotmail.com
S0599,Hannah Haynes,London,Full-time,MBA,10/28/2024,Bright Horizons,Conditional Offer,Robert Smith,12528,1638,25-Sep,3/28/2003,12/2/2024,,,changmelinda@brooks.com
S0600,Tammy Phillips,Madrid,Weekend,MSc Marketing,4/25/2025,Future Abroad,Enrolled,Maria Garcia,12889,11066,25-May,5/20/1997,5/11/2025,5/30/2025,6/8/2025,alexanderamy@gmail.com
S0601,Debra Jackson,Dublin,Weekend,BBA,6/13/2025,UniBridge,Enquiry,Robert Smith,23038,345,25-Jan,6/8/1998,,,,melissahill@yahoo.com
S0602,Nicole Washington,Paris,Full-time,BBA,6/9/2025,Global Edu,Unconditional Offer,David Lee,14211,13349,25-Jan,12/5/2005,6/24/2025,6/26/2025,,alexanderfowler@yahoo.com
S0603,Anthony Schmidt,Paris,Part-time,BA Economics,6/30/2025,EduPath,Conditional Offer,David Lee,12089,656,25-May,3/15/1993,7/1/2025,,,asmith@contreras-carroll.com
S0604,Robert Avila,London,Evening,BSc Computer Science,5/19/2025,UniBridge,Enquiry,Alice Johnson,16516,164,25-May,12/23/1993,,,,david74@hotmail.com
S0605,Michele Joyce,Berlin,Full-time,BA Economics,10/25/2024,Global Edu,Enquiry,Robert Smith,13998,404,25-May,6/7/1997,,,,xgarrett@gmail.com
S0606,Carla Phillips,Madrid,Full-time,BA Economics,1/10/2025,UniBridge,Unconditional Offer,Maria Garcia,22696,17944,25-Jan,11/23/2005,4/26/2025,6/17/2025,,lperry@hill-garcia.com
S0607,Deborah Peterson,Madrid,Evening,MSc Marketing,8/1/2024,Global Edu,Enquiry,David Lee,10614,437,25-Jan,12/4/2003,,,,martinezkimberly@hotmail.com
S0608,Norma Espinoza,Berlin,Weekend,BBA,10/13/2024,EduPath,Enquiry,David Lee,21636,49,25-Sep,7/4/2005,,,,barbarahernandez@gmail.com
S0609,Michael Smith DDS,Paris,Full-time,MBA,3/6/2025,Future Abroad,Withdrawn,Robert Smith,17003,345,25-Sep,8/3/2000,,,,lynnstrickland@wilson.net
S0610,Lydia Wilkerson,Paris,Part-time,BSc Computer Science,10/31/2024,Future Abroad,Enquiry,David Lee,21594,153,25-Sep,3/26/1999,,,,bgarrison@yahoo.com
S0611,Natalie Callahan,Madrid,Weekend,BA Economics,6/10/2025,Global Edu,Enquiry,Robert Smith,22874,274,25-May,9/27/1996,,,,amandahaynes@gmail.com
S0612,Aaron Jennings,Berlin,Weekend,BA Economics,8/7/2024,Global Edu,Conditional Offer,Robert Smith,23868,5335,25-May,6/29/1992,8/17/2024,,,charlesconrad@anderson.info
S0613,Sara Andrews,Madrid,Evening,BSc Computer Science,5/20/2025,Global Edu,Enquiry,David Lee,18686,454,25-May,12/13/1996,,,,mmayo@bryan-mcconnell.com
S0614,Katherine Scott,Berlin,Weekend,MSc Data Science,8/13/2024,Future Abroad,Unconditional Offer,David Lee,13025,12346,25-Sep,2/22/1991,9/14/2024,4/7/2025,,george44@gmail.com
S0615,Anna Ayers,Madrid,Weekend,BSc Computer Science,10/7/2024,UniBridge,Unconditional Offer,Maria Garcia,16471,12655,25-May,7/19/2005,4/13/2025,6/13/2025,,lindseybowman@contreras.com
S0616,Kevin Torres,Berlin,Full-time,BSc Computer Science,8/28/2024,Global Edu,Enrolled,Maria Garcia,18218,14939,25-Jan,3/10/1990,3/2/2025,3/23/2025,5/1/2025,simonanna@gmail.com
S0617,Brooke Campos,Dublin,Part-time,MSc Marketing,12/5/2024,Bright Horizons,Enquiry,David Lee,18915,428,25-May,10/20/2001,,,,hudsonandrea@hotmail.com
S0618,David Wilson,London,Part-time,MSc Marketing,4/8/2025,Future Abroad,Enquiry,Emma Brown,19701,394,25-May,12/26/2001,,,,troysmith@parker.com
S0619,Brittany Montoya MD,Paris,Evening,BBA,6/15/2025,Bright Horizons,Enquiry,Alice Johnson,15255,471,25-May,6/1/2002,,,,racheljohns@hotmail.com
S0620,Andrea Frazier,Madrid,Part-time,MSc Data Science,2/13/2025,Bright Horizons,Conditional Offer,Maria Garcia,13187,3510,25-Sep,4/9/2007,5/12/2025,,,swilliams@davis.com
S0621,Katherine Brewer,Madrid,Full-time,MSc Marketing,12/3/2024,Bright Horizons,Conditional Offer,David Lee,19849,2674,25-Jan,2/4/1993,3/28/2025,,,ruizpatricia@bass.info
S0622,Dr. Andrew Meadows,Berlin,Weekend,MBA,12/19/2024,Bright Horizons,Enrolled,Emma Brown,14726,8885,25-Jan,3/16/1999,2/5/2025,4/3/2025,4/18/2025,mcmillanalicia@dean.com
S0623,Rebecca Burton,London,Part-time,BSc Computer Science,3/3/2025,Global Edu,Unconditional Offer,Maria Garcia,15699,12991,25-Sep,8/16/1989,5/9/2025,6/12/2025,,sshort@hotmail.com
S0624,Dustin Patterson,Dublin,Evening,BBA,11/13/2024,EduPath,Enquiry,Robert Smith,14512,119,25-Sep,2/3/2007,,,,vcole@yahoo.com
S0625,David Johnson,Madrid,Evening,MBA,10/16/2024,EduPath,Enrolled,Alice Johnson,11575,7655,25-Jan,8/14/2003,1/24/2025,5/1/2025,6/30/2025,vnelson@villegas.com
S0626,Matthew Mccarty,Berlin,Evening,BSc Computer Science,11/28/2024,Bright Horizons,Unconditional Offer,Robert Smith,22819,12455,25-Jan,6/29/2006,12/23/2024,2/23/2025,,rgoodman@anderson-payne.com
S0627,Erica Combs,Paris,Evening,BBA,8/14/2024,EduPath,Unconditional Offer,Maria Garcia,17621,15888,25-Sep,6/25/2006,8/20/2024,2/17/2025,,michael08@bernard-richards.com
S0628,Kimberly Delgado,Dublin,Part-time,MSc Marketing,11/21/2024,Future Abroad,Unconditional Offer,Robert Smith,18150,16798,25-Jan,8/21/2000,5/12/2025,6/4/2025,,rebecca37@gmail.com
S0629,Brittany Sanchez,Berlin,Part-time,MSc Data Science,9/16/2024,EduPath,Conditional Offer,Alice Johnson,10497,862,25-May,12/25/1994,12/23/2024,,,gregory89@yahoo.com
S0630,Joseph Leblanc,London,Evening,MSc Data Science,9/25/2024,UniBridge,Conditional Offer,David Lee,17372,3980,25-Jan,12/17/1996,10/15/2024,,,amckenzie@knox.com
S0631,Robert Marks,Dublin,Part-time,MSc Marketing,12/16/2024,Future Abroad,Withdrawn,Emma Brown,18003,60,25-May,10/17/2004,,,,miguel82@gmail.com
S0632,Katherine Lawrence,Madrid,Weekend,MBA,12/17/2024,EduPath,Conditional Offer,Emma Brown,14044,2309,25-Sep,9/1/1989,12/17/2024,,,brownbrianna@yahoo.com
S0633,Gregory Everett,Dublin,Full-time,BA Economics,12/21/2024,EduPath,Enrolled,Emma Brown,15482,12680,25-May,12/28/2005,6/15/2025,6/26/2025,6/28/2025,ynicholson@yahoo.com
